Language,Original Purpose,Imperative,Object-oriented,Functional,Procedural,Generic,Reflective,Other Paradigms
Erlang,Application distributed,No,No,Yes,No,No,Yes,Concurrent distributed
Euphoria,Application,No,No,No,Yes,No,Yes,
Factor,General,Yes,No,Can be viewed as,No,Yes,Yes,Stack-oriented
FP,,No,No,Yes,No,No,No,
F#,Application,Yes,Yes,Yes,Yes,Yes,Yes,
Forth,General,Yes,No,No,Yes,No,Yes,Stack-oriented
Fortran,Application numerical computing,Yes,Yes,Yes,Yes,Yes,No,Array-based vectorized concurrent native distributed/shared-memory parallelism
FreeBASIC,Application numerical computing,Yes,Yes,No,Yes,Yes,No,
Gambas,Application,Yes,Yes,No,No,No,No,
Game Maker Language,Application game programming,Yes,Yes,No,No,No,No,
GLBasic,Application games,Yes,Yes,No,Yes,No,No,Simple object-oriented
Go,Application web server-side,Yes,Can be viewed as[27],Can be viewed as[28],Yes,Yes,Yes,Concurrent
Gosu,Application general scripting web,Yes,Yes,No,No,Yes,Yes,
GraphTalk,Application,No,Yes,No,No,No,No,Logic
Groovy,Application general scripting web,Yes,Yes,Yes,Yes,Yes,Yes,Meta-programming
Harbour,Application business data processing general web,Yes,Yes,Yes,Yes,Yes,Yes,Declarative
Haskell,Application,No,No,Yes,No,Yes,No,Lazy evaluation
Haxe,Application general web,Yes,Yes,Yes,No,Yes,Yes,
HyperTalk,Application RAD general,Yes,No,No,Yes,No,Yes,Weakly typed
Io,Application host-driven scripting,Yes,Yes,No,No,No,No,
IPL,General,No,No,Yes,No,No,No,
ISLISP,General,Yes,Yes,Yes,No,Yes,No,
J,Application data processing,Yes,Yes,Yes,Yes,Yes,Yes,Array-oriented function-level tacit concurrent
JADE,Application distributed,Yes,Yes,No,No,No,No,
Java,Application business client-side general mobile development server-side web,Yes,Yes,Yes,Yes,Yes,Yes,Concurrent
JavaScript,Client-side server-side web,Yes,Yes,Yes,Yes,No,Yes,prototype-based
Joy,Research,No,No,Yes,No,No,No,Stack-oriented
jq,"awk for JSON",No,No,Yes,No,No,No,Tacit Backtracking Streaming PEG
Julia,General technical computing,Yes,No,Yes,Yes,Yes,Yes,Multiple dispatch meta scalar and array-oriented parallel concurrent distributed ("cloud")
K,Data processing business,No,No,No,No,No,No,Array-oriented tacit
Kotlin,Application mobile development server-side client-side web,Yes,Yes,Yes,Yes,Yes,Yes[31],
Ksh,Shell scripting,Yes,Yes,No,Yes,No,No,Several variants custom programmable dynamic loadable modules
LabVIEW (G),Application industrial instrumentation-automation,Yes,Yes,Yes,No,No,No,Dataflow visual
Lisp,General,No,No,Yes,No,No,No,
LiveCode,Application RAD general,Yes,Yes,No,Yes,No,Yes,Weakly typed
Logtalk,Artificial intelligence application,No,Yes,No,No,No,Yes,Logic
Linden Scripting Language (LSL),Virtual worlds content scripting and animation,Yes,No,No,Yes,No,No,Scripts exist in in-world objects
Lua,Application embedded scripting,Yes,Yes[33],Yes,Yes,No,Yes,Aspect-oriented prototype-based
Maple,Symbolic computation numerical computing,Yes,Yes,Yes,Yes,No,No,Distributed
Mathematica,Symbolic language,Yes,Yes,Yes,Yes,Yes,Yes,Logic distributed
MATLAB,Highly domain-specific numerical computing,Yes,Yes,No,Yes,No,No,
Modula-2,Application system,Yes,No,No,No,Yes,No,
Modula-3,Application,Yes,Yes,No,No,Yes,No,
MUMPS (M),General application databases,Yes,Approved for next Standard,No,Yes,Partially Thru Indirection and Xecute,Yes,Concurrent multi-user NoSQL transaction processing
Nim,Application general web scripting system,Yes,Yes,Yes,Yes,Yes,Yes,Multiple dispatch concurrent meta
Oberon,Application system,Yes,Yes,No,No,No,No,
Object Pascal,Application general mobile app web,Yes,Yes,No,Yes,Yes,Yes,Structured
Objective-C,Application general,Yes,Yes,No,Yes,No,Yes,Concurrent
OCaml,Application general,Yes,Yes,Yes,Yes,Yes,No,
Occam,General,Yes,No,No,Yes,No,No,Concurrent process-oriented
Opa,Web applications,Yes,No,Yes,No,Yes,No,Distributed
OpenLisp,General Embedded Lisp Engine,Yes,Yes,Yes,No,Yes,No,
Oxygene,Application,Yes,Yes,No,No,Yes,No,
Oz-Mozart,Application distribution education,Yes,Yes,Yes,No,No,No,Concurrent logic
Pascal,Application education,Yes,No,No,Yes,No,No,
Perl,Application scripting text processing Web,Yes,Yes,Yes,Yes,Yes,Yes,
PHP,Server-side web application web,Yes,Yes[37],Yes[38],Yes,No,Yes,
PL/I,Application,Yes,Yes,No,Yes,No,No,
Plus,Application system development,Yes,No,No,Yes,No,No,
PostScript,Graphics page description,Yes,No,No,Yes,No,No,Concatenative stack-oriented
PowerShell,Administration application general scripting,Yes,Yes,Yes,Yes,No,Yes,Pipeline
Prolog,Application artificial intelligence,No,No,Yes,Yes,No,Yes,Logic declarative
PureBasic,Application,Yes,No,No,Yes,No,No,
Python,Application general web scripting artificial intelligence scientific computing,Yes,Yes,Yes,Yes,Yes,Yes,Aspect-oriented
R,Application statistics,Yes,Yes,Yes,Yes,No,Yes,
Racket,Education general scripting,Yes,Yes,Yes,Yes,No,Yes,Modular logic meta
Raku,Scripting text processing glue,Yes,Yes,Yes,Yes,Yes,Yes,Aspect-oriented array lazy evaluation multiple dispatch metaprogramming
REALbasic,Application,No,No,No,Yes,No,No,
Rebol,Distributed,Yes,Yes,Yes,Yes,No,Yes,Dialected
REXX,Scripting,Yes,Yes (NetRexx and Object REXX dialects),No,Yes,No,No,
RPG,Application system,Yes,No,No,Yes,No,No,
Ring,Application,Yes,Yes,Yes,Yes,Yes,Yes,metaprogramming declarative natural-language
